county_FIPS,state,county,per_capita_personal_income_2019,per_capita_personal_income_2020,per_capita_personal_income_2021,associate_degree_numbers_2016_2020,bachelor_degree_numbers_2016_2020,associate_degree_percentage_2016_2020,bachelor_degree_percentage_2015_2019
31185,NE,"York, NE",48928,54506,58148,3712,2533,40.14,27.39
45073,SC,"Oconee, SC",46804,48945,52336,16890,15594,29.64,27.36
29147,MO,"Nodaway, MO",33241,37241,39258,3471,3405,27.89,27.36
41071,OR,"Yamhill, OR",47337,51486,55802,27203,19600,37.95,27.35
38059,ND,"Morton, ND",52389,55406,58630,8032,5941,36.93,27.32
30013,MT,"Cascade, MT",47303,50576,53765,18758,15230,33.65,27.32
27119,MN,"Polk, MN",46566,53803,58682,7469,5756,35.38,27.27
47105,TN,"Loudon, TN",54449,57594,60642,11407,10663,29.16,27.26
12113,FL,"Santa Rosa, FL",47484,50016,53778,46733,34361,37.08,27.26
20169,KS,"Saline, KS",51219,53147,56258,12983,10056,35.15,27.22
19075,IA,"Grundy, IA",51873,55698,62531,3123,2346,36.22,27.21
13247,GA,"Rockdale, GA",35602,39358,43042,19222,16308,32.07,27.21
12033,FL,"Escambia, FL",44739,47837,51808,77802,58279,36.32,27.2
30027,MT,"Fergus, MT",44026,45728,46685,2939,2224,35.95,27.2
30007,MT,"Broadwater, MT",43874,46978,47541,1802,1184,41.35,27.17
27041,MN,"Douglas, MN",51776,55854,59909,10250,7366,37.8,27.16
13177,GA,"Lee, GA",43869,47008,50409,6978,5296,35.72,27.11
20017,KS,"Chase, KS",53672,63086,64717,684,494,37.52,27.1
54011,WV,"Cabell, WV",43680,46506,49866,17773,16925,28.46,27.1
05031,AR,"Craighead, AR",38810,42024,45160,20132,19018,28.68,27.1
06095,CA,"Solano, CA",51819,58406,65448,116836,83141,38.02,27.06
42103,PA,"Pike, PA",50137,52415,56008,13137,11260,31.57,27.06
48423,TX,"Smith, TX",56639,55832,60284,55280,40893,36.55,27.04
37043,NC,"Clay, NC",37286,40229,43300,2889,2347,33.28,27.04
29037,MO,"Cass, MO",48865,51409,54020,23891,19312,33.4,27
16005,ID,"Bannock, ID",39307,42596,45443,21090,14907,38.19,26.99
13053,GA,"Chattahoochee, GA",32636,36007,39690,1770,1316,36.3,26.99
06043,CA,"Mariposa, CA",54375,57964,61343,5633,3659,41.43,26.91
18163,IN,"Vanderburgh, IN",47942,51565,55099,39661,33513,31.84,26.91
36023,NY,"Cortland, NY",41611,45921,48617,9767,8059,32.61,26.91
51023,VA,"Botetourt, VA",51755,54534,57997,7988,6643,32.34,26.9
28081,MS,"Lee, MS",44363,48080,51703,18133,15282,31.92,26.9
20131,KS,"Nemaha, KS",50709,57969,60858,1983,1782,29.9,26.87
41063,OR,"Wallowa, OR",44689,48880,52999,2023,1461,37.21,26.87
51119,VA,"Middlesex, VA",53640,56167,59146,2536,2221,30.67,26.86
38053,ND,"McKenzie, ND",70441,66159,72258,2759,2230,33.22,26.85
20111,KS,"Lyon, KS",39896,44157,46177,5942,5349,29.83,26.85
48441,TX,"Taylor, TX",47295,51172,58316,27058,22597,32.12,26.83
48359,TX,"Oldham, TX",63100,67945,72126,423,334,33.95,26.81
27147,MN,"Steele, MN",46534,50483,55176,8411,6621,34.05,26.8
45077,SC,"Pickens, SC",39339,41135,43842,24491,21311,30.8,26.8
48053,TX,"Burnet, TX",53648,55779,59381,10529,9011,31.26,26.75
48327,TX,"Menard, TX",41428,44122,47390,453,446,27.13,26.71
48367,TX,"Parker, TX",58675,61317,65358,31948,24934,34.21,26.7
46135,SD,"Yankton, SD",51256,54361,59224,5011,4239,31.55,26.69
55055,WI,"Jefferson, WI",47726,50624,53863,19401,15767,32.84,26.69
20071,KS,"Greeley, KS",60821,83743,93667,242,192,33.61,26.67
31165,NE,"Sioux, NE",59849,65082,74215,351,227,41.25,26.67
31007,NE,"Banner, NE",58969,61329,68909,217,124,46.67,26.67
39095,OH,"Lucas, OH",47730,51088,54105,98294,78159,33.54,26.67
30041,MT,"Hill, MT",45861,49714,51060,3618,2731,35.34,26.67
40025,OK,"Cimarron, OK",61841,62184,68769,378,410,24.56,26.64
36065,NY,"Oneida, NY",46034,49821,53172,50112,42289,31.57,26.64
16017,ID,"Bonner, ID",44003,47782,49868,11823,8871,35.51,26.64
36053,NY,"Madison, NY",48065,51732,54766,15039,12801,31.29,26.63
16055,ID,"Kootenai, ID",47745,51109,54406,45588,29968,40.51,26.63
13207,GA,"Monroe, GA",47038,49781,52718,5058,5109,26.33,26.6
36105,NY,"Sullivan, NY",47370,51175,53874,14975,14158,28.09,26.56
29003,MO,"Andrew, MO",44650,47612,50693,3634,3251,29.69,26.56
31135,NE,"Perkins, NE",64894,75072,87847,784,542,38.37,26.53
50011,VT,"Franklin, VT",49217,52392,54756,9325,9148,27.02,26.51
19053,IA,"Decatur, IA",35998,38817,42171,1230,1282,25.44,26.51
46015,SD,"Brule, SD",45995,53397,59267,1034,931,29.43,26.5
30069,MT,"Petroleum, MT",34028,36335,31503,121,94,34.08,26.48
20127,KS,"Morris, KS",45012,51167,52926,1244,1079,30.5,26.45
40139,OK,"Texas, OK",52877,51093,58194,2669,3270,21.57,26.43
31099,NE,"Kearney, NE",57267,63956,72421,1754,1174,39.48,26.42
47141,TN,"Putnam, TN",41621,44512,47536,12371,13517,24.18,26.42
17085,IL,"Jo Daviess, IL",47991,52229,56428,5018,4245,31.22,26.41
53007,WA,"Chelan, WA",54288,59082,62792,16677,13838,31.78,26.37
06027,CA,"Inyo, CA",58351,60124,62090,4375,3466,33.28,26.37
54039,WV,"Kanawha, WV",49159,52256,55897,34536,34612,26.31,26.37
40039,OK,"Custer, OK",41388,42941,46226,5451,4549,31.6,26.37
27083,MN,"Lyon, MN",49751,55067,58433,5824,4313,35.6,26.36
55085,WI,"Oneida, WI",50147,53044,55861,9850,7173,36.17,26.34
38071,ND,"Ramsey, ND",49856,56950,59490,3020,2060,38.58,26.32
27069,MN,"Kittson, MN",46733,63269,67536,947,808,30.84,26.31
54079,WV,"Putnam, WV",48218,50355,53536,11691,10472,29.37,26.31
23007,ME,"Franklin, ME",40801,44219,47206,6223,5727,28.59,26.31
30095,MT,"Stillwater, MT",59139,62194,64917,2281,1798,33.36,26.3
20065,KS,"Graham, KS",49894,55636,62383,570,466,32.17,26.3
04025,AZ,"Yavapai, AZ",43306,47203,49060,70693,47221,39.37,26.3
46125,SD,"Turner, SD",61701,63596,73093,1985,1515,34.4,26.26
06053,CA,"Monterey, CA",56313,61105,63449,73827,72592,26.7,26.25
55073,WI,"Marathon, WI",52045,55055,58096,30291,24672,32.23,26.25
30059,MT,"Meagher, MT",44049,46482,46835,387,360,28.21,26.24
38007,ND,"Billings, ND",79623,83228,92571,177,167,27.79,26.22
13185,GA,"Lowndes, GA",38070,41037,43546,20250,18050,29.41,26.22
46115,SD,"Spink, SD",55538,71992,76434,1413,1172,31.58,26.2
27049,MN,"Goodhue, MN",54665,57401,60933,11372,8621,34.54,26.19
38063,ND,"Nelson, ND",58823,71728,70971,816,576,37.06,26.16
27035,MN,"Crow Wing, MN",46170,49561,54260,17913,12150,38.57,26.16
51131,VA,"Northampton, VA",54353,59199,63928,2169,2291,24.75,26.15
12019,FL,"Clay, FL",45319,48070,51885,53653,38721,36.24,26.15
46093,SD,"Meade, SD",43775,47918,50972,7278,4885,38.9,26.11
08033,CO,"Dolores, CO",35024,36479,39481,511,411,32.47,26.11
36107,NY,"Tioga, NY",46710,50803,53919,10348,9059,29.8,26.09
17029,IL,"Coles, IL",44884,49333,53596,11098,8570,33.77,26.08
20123,KS,"Mitchell, KS",61496,70316,71245,1600,1063,39.24,26.07
46035,SD,"Davison, SD",52030,55929,59258,4409,3508,32.71,26.03
53059,WA,"Skamania, WA",50414,54042,58554,3199,2341,35.57,26.03
19129,IA,"Mills, IA",59887,61481,66042,3618,2715,34.68,26.02
20023,KS,"Cheyenne, KS",45782,56260,65154,704,494,37.07,26.01
28045,MS,"Hancock, MS",38155,41867,44776,12491,8953,36.26,25.99
17179,IL,"Tazewell, IL",48427,52046,54768,32803,24127,35.31,25.97
08105,CO,"Rio Grande, CO",47729,52047,57350,2460,2000,31.92,25.95
47113,TN,"Madison, TN",43975,47357,51004,18465,16995,28.18,25.94
26099,MI,"Macomb, MI",47350,51798,54258,216116,159835,35.05,25.92
18159,IN,"Tipton, IN",45677,48982,51881,2713,2813,25,25.92
38087,ND,"Slope, ND",48921,62170,80270,210,150,36.27,25.91
42011,PA,"Berks, PA",50657,55045,57970,71364,73948,25.01,25.91
27111,MN,"Otter Tail, MN",47353,51840,55698,16241,10793,38.97,25.9
48299,TX,"Llano, TX",54046,56744,59689,5791,4440,33.77,25.89
46045,SD,"Edmunds, SD",52408,64747,77988,883,681,33.56,25.88
02060,AK,"Bristol Bay Borough, AK",136337,138387,155155,213,145,37.97,25.85
21021,KY,"Boyle, KY",39831,43226,46181,5724,5196,28.46,25.84
21205,KY,"Rowan, KY",31789,34847,37769,3845,3661,27.13,25.84
51097,VA,"King and Queen, VA",47278,51891,55935,1551,1393,28.76,25.83
46091,SD,"Marshall, SD",54896,71354,72571,1240,888,36.06,25.82
42089,PA,"Monroe, PA",45196,49469,53118,34211,30421,29.03,25.82
01051,AL,"Elmore, AL",42234,44683,47381,16842,14620,29.74,25.82
49001,UT,"Beaver, UT",36202,43658,46960,1492,999,38.54,25.81
02122,AK,"Kenai Peninsula Borough, AK",54727,56224,59041,14787,10622,35.92,25.8
55031,WI,"Douglas, WI",44172,46003,49872,12242,8041,39.27,25.79
55101,WI,"Racine, WI",50274,53005,56884,45353,34569,33.82,25.78
20105,KS,"Lincoln, KS",46040,54756,56308,874,545,41.34,25.78
55117,WI,"Sheboygan, WI",52696,55282,58425,26240,20605,32.77,25.73
48011,TX,"Armstrong, TX",55506,58244,61382,557,344,41.63,25.71
51137,VA,"Orange, VA",52574,55369,57849,7190,6671,27.71,25.71
18029,IN,"Dearborn, IN",49254,52083,55782,9257,8880,26.8,25.71
27005,MN,"Becker, MN",48118,51710,56147,8892,6035,37.86,25.7
53023,WA,"Garfield, WA",50341,56479,56792,720,438,42.23,25.69
27141,MN,"Sherburne, MN",49291,52201,55341,25114,16141,39.92,25.66
56015,WY,"Goshen, WY",45141,47900,50633,3563,2389,38.23,25.63
35017,NM,"Grant, NM",41531,44295,48537,6677,5115,33.45,25.63
36063,NY,"Niagara, NY",46393,51017,53137,50713,38652,33.6,25.61
37051,NC,"Cumberland, NC",39633,43028,46992,82099,53183,39.53,25.61
12035,FL,"Flagler, FL",50695,52613,56336,28927,22237,33.31,25.6
38105,ND,"Williams, ND",66244,61077,63689,8117,5842,35.56,25.59
31001,NE,"Adams, NE",50436,53834,58072,7806,5221,38.27,25.59
21145,KY,"McCracken, KY",47619,52296,56089,15848,11787,34.4,25.59
17199,IL,"Williamson, IL",45632,48962,52329,17652,12221,36.97,25.59
31137,NE,"Phelps, NE",54090,60264,63430,2473,1596,39.63,25.57
26137,MI,"Otsego, MI",41441,46664,49320,6282,4502,35.69,25.57
04003,AZ,"Cochise, AZ",41557,46909,49096,34598,22581,39.15,25.55
18037,IN,"Dubois, IN",54920,58283,60954,7556,7375,26.17,25.54
42007,PA,"Beaver, PA",49021,53495,56452,38425,30890,31.78,25.54
08021,CO,"Conejos, CO",38179,41346,45961,1672,1364,31.26,25.5
31103,NE,"Keya Paha, NE",52357,63851,62968,240,155,39.47,25.49
02130,AK,"Ketchikan Gateway Borough, AK",69052,67465,72278,3655,2467,37.72,25.46
08095,CO,"Phillips, CO",42230,44065,50382,896,714,31.95,25.46
48173,TX,"Glasscock, TX",116639,110206,124963,197,238,21.07,25.45
31033,NE,"Cheyenne, NE",48869,51608,52730,2499,1683,37.79,25.45
42119,PA,"Union, PA",44452,47782,50630,6535,7771,21.4,25.45
51147,VA,"Prince Edward, VA",33504,36074,38883,3374,3358,25.58,25.45
19015,IA,"Boone, IA",48103,51104,54521,6762,4745,36.25,25.44
30099,MT,"Teton, MT",49178,53825,50240,1441,1060,34.59,25.44
17063,IL,"Grundy, IL",58763,59913,65839,12356,8628,36.41,25.42
31131,NE,"Otoe, NE",55614,58784,63569,3577,2764,32.87,25.4
53043,WA,"Lincoln, WA",45756,50879,51578,3135,1971,40.39,25.4
45015,SC,"Berkeley, SC",43510,45454,48919,49764,37671,33.53,25.38
28011,MS,"Bolivar, MS",37303,41211,46512,6282,5164,30.88,25.38
40087,OK,"McClain, OK",49042,50262,53330,8775,6779,32.84,25.37
49017,UT,"Garfield, UT",39440,43010,50209,1312,884,37.66,25.37
37001,NC,"Alamance, NC",41493,44418,48118,38224,28301,34.22,25.34
48027,TX,"Bell, TX",43781,46459,49405,86390,54892,39.87,25.33
39093,OH,"Lorain, OH",48387,51518,54452,72794,54343,33.92,25.32
19121,IA,"Madison, IA",50472,53555,57263,4026,2805,36.32,25.31
30091,MT,"Sheridan, MT",47259,53773,55476,762,614,31.41,25.31
13021,GA,"Bibb, GA",40356,43592,46781,30105,25338,30.07,25.31
53013,WA,"Columbia, WA",57520,65425,70579,1326,769,43.6,25.29
46101,SD,"Moody, SD",52556,61461,65719,1581,1120,35.7,25.29
48139,TX,"Ellis, TX",47591,49456,53393,39260,29273,33.91,25.28
24015,MD,"Cecil, MD",49070,51681,55293,21084,18035,29.54,25.27
38031,ND,"Foster, ND",58655,73729,75732,947,580,41.23,25.25
55049,WI,"Iowa, WI",50155,53878,57445,5993,4210,35.95,25.25
37053,NC,"Currituck, NC",50389,53380,57320,6682,4913,34.33,25.24
26163,MI,"Wayne, MI",43271,47533,50610,387477,299012,32.7,25.23
17001,IL,"Adams, IL",47040,51072,55254,14944,11561,32.58,25.21
42133,PA,"York, PA",51295,54808,57870,81135,78785,25.95,25.2
05019,AR,"Clark, AR",38155,41306,42664,4068,3281,31.21,25.17
32003,NV,"Clark, NV",51012,53562,58276,501166,384522,32.8,25.16
08001,CO,"Adams, CO",45266,48606,53183,100864,83000,30.58,25.16
16051,ID,"Jefferson, ID",37847,39949,42307,6954,4240,41.27,25.16
51047,VA,"Culpeper, VA",49181,52016,55336,10852,8846,30.86,25.15
51109,VA,"Louisa, VA",44759,47474,50089,7842,6699,29.45,25.15
35027,NM,"Lincoln, NM",41684,45210,47703,4786,3739,32.16,25.12
38045,ND,"LaMoure, ND",60029,70840,72712,1007,750,33.71,25.11
20193,KS,"Thomas, KS",47126,50599,51579,2261,1256,45.21,25.11
49057,UT,"Weber, UT",43032,46230,49857,59079,39873,37.19,25.1
31183,NE,"Wheeler, NE",73088,72748,83722,257,147,43.86,25.09
01077,AL,"Lauderdale, AL",38681,41778,44804,18364,16071,28.65,25.08
38009,ND,"Bottineau, ND",60713,68775,69935,1811,1119,40.55,25.06
27021,MN,"Cass, MN",47869,51803,56491,7761,5397,36.02,25.05
48309,TX,"McLennan, TX",42601,45808,49512,50670,38732,32.74,25.02
48451,TX,"Tom Green, TX",52033,55927,59877,24635,19059,32.32,25
41001,OR,"Baker, OR",41127,44857,48107,4425,3004,36.83,25
42063,PA,"Indiana, PA",41489,44804,47945,13517,13920,24.28,25
37049,NC,"Craven, NC",46534,50408,54135,25842,16899,38.15,24.95
01083,AL,"Limestone, AL",44672,47397,50326,21085,16936,31.02,24.92
39043,OH,"Erie, OH",55178,54141,58239,17179,13315,32.13,24.9
30021,MT,"Dawson, MT",44820,47514,47459,2506,1608,38.8,24.9
18167,IN,"Vigo, IN",39159,42511,45767,22338,17268,32.2,24.89
18035,IN,"Delaware, IN",38762,42000,45325,22050,17690,31.02,24.89
55113,WI,"Sawyer, WI",45047,47325,50445,4253,3080,34.33,24.86
28033,MS,"DeSoto, MS",44019,47078,50982,43178,29732,36.09,24.85
20171,KS,"Scott, KS",52615,58451,60794,994,800,30.87,24.84
45083,SC,"Spartanburg, SC",45010,47641,50596,67256,52780,31.64,24.83
56013,WY,"Fremont, WY",46798,49268,51452,9810,6615,36.8,24.81
31091,NE,"Hooker, NE",47599,48980,49027,182,128,35.27,24.81
08103,CO,"Rio Blanco, CO",47144,50197,54745,1553,1064,36.18,24.79
19147,IA,"Palo Alto, IA",51403,49216,56973,2359,1531,38.18,24.78
29127,MO,"Marion, MO",41063,44348,47304,5592,4773,29.02,24.77
46063,SD,"Harding, SD",51121,49327,60414,300,212,35.01,24.74
31041,NE,"Custer, NE",49256,56374,58544,2815,1848,37.68,24.74
48267,TX,"Kimble, TX",48015,50931,54345,939,819,28.35,24.73
27061,MN,"Itasca, MN",45393,48240,51563,12705,8071,38.79,24.64
36101,NY,"Steuben, NY",47475,51050,54238,21144,16733,31.12,24.63
39099,OH,"Mahoning, OH",44241,47903,50968,47920,40285,29.3,24.63
12101,FL,"Pasco, FL",43822,46696,50479,122661,96665,31.26,24.63
47009,TN,"Blount, TN",45860,49002,52596,27898,23328,29.44,24.62
46087,SD,"McCook, SD",53326,59210,67402,1087,895,29.86,24.59
31171,NE,"Thomas, NE",57707,59914,61324,217,106,50.35,24.59
05115,AR,"Pope, AR",36057,37465,40937,10829,10078,26.42,24.59
31081,NE,"Hamilton, NE",53781,60279,65739,2642,1563,41.53,24.57
08085,CO,"Montrose, CO",43187,46747,50789,9722,7443,32.08,24.56
20087,KS,"Jefferson, KS",46591,49792,52892,4066,3274,30.46,24.53
06063,CA,"Plumas, CA",50296,54185,57193,6703,3566,46.08,24.52
10001,DE,"Kent, DE",44490,46542,50432,36205,29454,30.14,24.52
38089,ND,"Stark, ND",63393,61563,62553,7088,4953,35.06,24.5
30005,MT,"Blaine, MT",28752,32137,34095,1544,1017,37.2,24.5
51113,VA,"Madison, VA",48543,51692,55148,2814,2368,29.11,24.49
47163,TN,"Sullivan, TN",44125,47021,50418,33234,28220,28.84,24.49
12005,FL,"Bay, FL",46452,50394,53980,47259,31305,36.96,24.48
36123,NY,"Yates, NY",42576,46399,48934,4531,4072,27.24,24.48
08003,CO,"Alamosa, CO",38025,41152,44507,3365,2385,34.54,24.48
31139,NE,"Pierce, NE",57035,62386,68647,1797,1196,36.76,24.47
30045,MT,"Judith Basin, MT",48136,52026,48352,643,361,43.56,24.46
12127,FL,"Volusia, FL",46612,48620,52964,141238,99126,34.83,24.44
48347,TX,"Nacogdoches, TX",39665,42073,46246,11460,9205,30.42,24.44
36019,NY,"Clinton, NY",44979,48408,50625,15075,13483,27.31,24.42
26043,MI,"Dickinson, MI",46741,50975,55335,6922,4555,37.1,24.41
27067,MN,"Kandiyohi, MN",52094,55811,58345,11374,7041,39.41,24.39
01097,AL,"Mobile, AL",39453,42837,46418,82191,68237,29.38,24.39
27157,MN,"Wabasha, MN",50078,55622,58382,5672,3785,36.54,24.38
12069,FL,"Lake, FL",43878,45880,49831,88511,64413,33.51,24.38
21059,KY,"Daviess, KY",42708,46394,50079,22247,16567,32.72,24.37
40131,OK,"Rogers, OK",47480,49464,52142,22023,15199,35.27,24.34
13009,GA,"Baldwin, GA",34954,37833,40542,8316,6847,29.56,24.34
18085,IN,"Kosciusko, IN",48562,51892,55625,14980,12882,28.3,24.33
42037,PA,"Columbia, PA",43624,47565,50176,10400,10654,23.75,24.33
35021,NM,"Harding, NM",40555,46965,49695,132,80,40.12,24.32
48273,TX,"Kleberg, TX",40550,42083,45818,4592,4136,26.98,24.3
37059,NC,"Davie, NC",50977,53558,57591,10141,7397,33.3,24.29
20041,KS,"Dickinson, KS",42596,46708,49255,4777,3168,36.62,24.29
20163,KS,"Rooks, KS",39050,45289,49795,1267,857,35.9,24.28
17083,IL,"Jersey, IL",43093,47107,50874,4951,3675,32.68,24.25
30073,MT,"Pondera, MT",49912,56521,52704,1571,975,39.04,24.23
31089,NE,"Holt, NE",52409,59866,66231,2639,1684,37.96,24.22
31017,NE,"Brown, NE",56927,63013,63598,736,513,34.73,24.21
50019,VT,"Orleans, VT",45632,49879,51960,5333,4758,27.13,24.2
13211,GA,"Morgan, GA",51582,53835,57857,3727,3227,27.93,24.18
17007,IL,"Boone, IL",47814,50785,54496,10609,8489,30.22,24.18
02230,AK,"Skagway Municipality, AK",77402,59045,71409,357,254,33.97,24.17
45041,SC,"Florence, SC",44609,47692,51554,27416,22629,29.29,24.17
41061,OR,"Union, OR",42107,46076,50053,6328,4275,35.78,24.17
45051,SC,"Horry, SC",41360,44241,46817,88085,62135,34.24,24.16
55021,WI,"Columbia, WI",52934,56566,60708,14929,9869,36.54,24.15
27055,MN,"Houston, MN",51628,55330,59140,4690,3226,35.07,24.13
38093,ND,"Stutsman, ND",52206,59353,61388,4633,3478,32.13,24.12
41047,OR,"Marion, OR",44921,49022,53791,80144,54873,35.23,24.12
13275,GA,"Thomas, GA",44358,48175,52349,9432,7350,30.95,24.12
38033,ND,"Golden Valley, ND",39094,44263,52279,553,320,41.67,24.11
16069,ID,"Nez Perce, ID",44537,48279,50993,10694,6819,37.82,24.11
45007,SC,"Anderson, SC",41621,43933,46894,43254,33261,31.35,24.11
31005,NE,"Arthur, NE",49775,54348,58171,138,74,44.95,24.1
45047,SC,"Greenwood, SC",38712,41762,44723,14195,11584,29.53,24.1
51101,VA,"King William, VA",47526,50309,53900,4388,2850,37.1,24.09
56011,WY,"Crook, WY",48636,49756,51825,2010,1248,38.74,24.06
19079,IA,"Hamilton, IA",51007,50276,58126,3956,2526,37.65,24.04
49055,UT,"Wayne, UT",45183,50067,52647,848,438,46.54,24.04
20197,KS,"Wabaunsee, KS",51977,55142,58400,1716,1144,36.04,24.03
48141,TX,"El Paso, TX",37894,40768,44064,163344,123543,31.77,24.03
51073,VA,"Gloucester, VA",49305,52410,55944,9331,6562,34.13,24
20029,KS,"Cloud, KS",38962,44057,47195,2251,1421,38.02,24
06045,CA,"Mendocino, CA",48013,53087,56047,22570,14877,36.39,23.99
13139,GA,"Hall, GA",47263,49925,53920,35879,31696,27.15,23.99
41007,OR,"Clatsop, OR",45253,49063,52250,11855,6944,40.92,23.97
47119,TN,"Maury, TN",45199,48017,52041,20728,15735,31.57,23.97
37101,NC,"Johnston, NC",42117,45109,48950,49507,32484,36.51,23.96
28087,MS,"Lowndes, MS",40592,44039,47137,11666,9408,29.71,23.96
36039,NY,"Greene, NY",48849,53044,55805,9087,8505,25.58,23.95
26097,MI,"Mackinac, MI",44726,50473,53230,2730,2019,32.39,23.95
20097,KS,"Kiowa, KS",41216,51912,57085,551,383,34.44,23.94
48393,TX,"Roberts, TX",50589,53413,56868,200,135,35.46,23.94
20143,KS,"Ottawa, KS",41724,46244,50373,1489,975,36.54,23.93
13103,GA,"Effingham, GA",42320,44887,48212,11257,9716,27.72,23.93
39123,OH,"Ottawa, OH",54124,57760,61102,9738,7298,31.91,23.92
31031,NE,"Cherry, NE",47074,54140,55302,1627,967,40.23,23.91
19041,IA,"Clay, IA",50798,54344,59187,4260,2682,37.94,23.89
13223,GA,"Paulding, GA",40700,43662,47381,38686,25685,35.99,23.89
55039,WI,"Fond du Lac, WI",49996,53124,56378,23496,17140,32.73,23.88
37113,NC,"Macon, NC",41975,45095,48875,8699,6349,32.72,23.88
08023,CO,"Costilla, CO",37326,39705,43239,973,663,35.05,23.88
40145,OK,"Wagoner, OK",43020,45032,47142,19078,13041,34.88,23.84
12015,FL,"Charlotte, FL",46707,49052,51677,51694,36727,33.54,23.83
05000,AR,"Arkansas, AR",46906,52609,56733,596855,482695,29.45,23.82
23029,ME,"Washington, ME",42051,46891,49280,6739,5505,29.16,23.82
56043,WY,"Washakie, WY",51388,57228,60235,2174,1313,39.42,23.81
27133,MN,"Rock, MN",48827,56690,57744,2456,1538,38.01,23.8
20179,KS,"Sheridan, KS",46978,56134,56735,645,433,35.46,23.8
17161,IL,"Rock Island, IL",44142,47999,51429,35335,23410,35.92,23.8
37077,NC,"Granville, NC",40074,43069,46504,13343,10103,31.43,23.8
31083,NE,"Harlan, NE",57567,63737,66306,1013,565,42.63,23.78
55111,WI,"Sauk, WI",52788,56206,60631,14904,10646,33.28,23.77
31117,NE,"McPherson, NE",51745,67927,63343,146,81,42.82,23.75
31023,NE,"Butler, NE",48773,55051,59717,1826,1315,32.98,23.75
17073,IL,"Henry, IL",45785,50273,54747,11941,8188,34.63,23.75
31119,NE,"Madison, NE",51683,55695,60169,8245,5422,36.09,23.74
20095,KS,"Kingman, KS",43106,48832,52283,1886,1210,37,23.74
36117,NY,"Wayne, NY",47651,51428,53499,21331,15166,33.36,23.72
20053,KS,"Ellsworth, KS",43841,45169,47749,1625,1067,36.13,23.72
28047,MS,"Harrison, MS",38492,42037,44551,50612,32522,36.91,23.72
09015,CT,"Windham, CT",47872,51376,55261,24794,19405,30.29,23.7
49003,UT,"Box Elder, UT",38927,42295,45456,12701,7754,38.82,23.7
30075,MT,"Powder River, MT",34282,40773,39838,488,296,39.04,23.68
27167,MN,"Wilkin, MN",48502,58334,65570,1753,1054,39.35,23.66
37011,NC,"Avery, NC",37300,40197,43022,4165,3171,31.07,23.66
20031,KS,"Coffey, KS",51433,56637,58867,2152,1389,36.6,23.62
48077,TX,"Clay, TX",46704,49170,51938,2476,1801,32.47,23.62
48295,TX,"Lipscomb, TX",88722,94821,102569,603,489,29.12,23.61
17115,IL,"Macon, IL",47492,51804,56548,24125,17044,33.37,23.58
36095,NY,"Schoharie, NY",45273,49123,52027,6907,5279,30.86,23.58
37133,NC,"Onslow, NC",44307,46972,50869,42018,25116,39.44,23.58
48503,TX,"Young, TX",52250,53806,58602,3840,2934,30.85,23.57
20167,KS,"Russell, KS",46055,49781,53679,2050,1152,41.94,23.57
08055,CO,"Huerfano, CO",41653,45781,48801,2221,1243,42.11,23.57
42079,PA,"Luzerne, PA",44987,49172,52300,63412,53528,27.91,23.56
20191,KS,"Sumner, KS",41457,45362,48658,5427,3671,34.83,23.56
36089,NY,"St. Lawrence, NY",39181,42821,45626,20772,16890,28.98,23.56
26005,MI,"Allegan, MI",46130,50402,53375,24564,18782,30.81,23.55
36015,NY,"Chemung, NY",45402,49108,52360,18810,13970,31.71,23.55
19193,IA,"Woodbury, IA",43943,46975,50607,21377,15541,32.39,23.55
56017,WY,"Hot Springs, WY",61472,75185,78817,1547,800,45.53,23.54
56025,WY,"Natrona, WY",69791,67229,70175,22208,12826,40.72,23.52
55105,WI,"Rock, WI",45883,49129,52787,37269,26088,33.6,23.52
31129,NE,"Nuckolls, NE",53019,59933,68062,1154,719,37.71,23.5
39151,OH,"Stark, OH",45901,49197,52426,79378,61112,30.52,23.5
38001,ND,"Adams, ND",48914,57099,57586,535,380,33.07,23.49
13237,GA,"Putnam, GA",45971,49574,53019,4368,3751,27.35,23.49
47011,TN,"Bradley, TN",40228,43319,46409,22918,17189,31.32,23.49
46089,SD,"McPherson, SD",41577,55802,65047,450,389,27.16,23.48
41015,OR,"Curry, OR",45002,48934,53044,7568,4395,40.43,23.48
24023,MD,"Garrett, MD",46295,49772,53008,5164,5056,23.98,23.48
46107,SD,"Potter, SD",68426,81156,87031,525,379,32.51,23.47
42081,PA,"Lycoming, PA",44394,48075,50464,23546,18886,29.26,23.47
21217,KY,"Taylor, KY",35200,39022,41752,4509,3939,26.86,23.47
08017,CO,"Cheyenne, CO",54006,47755,76057,584,316,43.36,23.46
46005,SD,"Beadle, SD",48558,52156,55409,3344,2882,27.22,23.46
13157,GA,"Jackson, GA",43894,45903,49063,14190,11178,29.78,23.46
20069,KS,"Gray, KS",59155,64323,64859,1216,881,32.37,23.45
29027,MO,"Callaway, MO",40115,43671,46191,9042,7246,29.27,23.45
19027,IA,"Carroll, IA",52526,54851,60290,5073,3227,36.82,23.42
16059,ID,"Lemhi, ID",43898,48508,50927,2490,1419,41.1,23.42
31141,NE,"Platte, NE",48329,52458,56149,8108,5123,37,23.38
46077,SD,"Kingsbury, SD",55601,66824,70430,1045,812,30.08,23.37
53003,WA,"Asotin, WA",48040,51453,55564,6550,3815,40.12,23.37
